,h_1,W_1,L1_final,H1_final,L2_final,M1_final,cure_at_1500,M2_final,H2_final
35,0.45,0.07525,37839.96773244504,2870.7122400249714,37839.96773244504,244596.6539796583,1.0,244596.6539796583,2870.7122400249714
36,0.45,0.07699999999999999,37645.27171917785,2770.2943023924718,37645.27171917785,243077.98684196593,1.0,243077.98684196593,2770.2943023924718
38,0.45,0.07874999999999999,37442.134400091454,2668.069860253597,37442.134400091454,241485.4534940906,1.0,241485.4534940906,2668.069860253597
47,0.45,0.08049999999999999,37229.27378384143,2563.7589925677944,37229.27378384143,239808.19609287192,1.0,239808.19609287192,2563.7589925677944
39,0.45,0.08224999999999999,37005.174574077864,2457.062366137371,37005.174574077864,238033.37925945906,1.0,238033.37925945906,2457.062366137371
48,0.45,0.08399999999999999,36768.051584526096,2347.670921474641,36768.051584526096,236145.88379966922,1.0,236145.88379966922,2347.670921474641
49,0.45,0.08574999999999999,36515.811937258666,2235.281400662136,36515.811937258666,234127.9925344211,1.0,234127.9925344211,2235.281400662136
51,0.45,0.0875,36246.018507571775,2119.6193203660805,36246.018507571775,231959.09025327628,1.0,231959.09025327628,2119.6193203660805
52,0.45,0.08925,35955.858347038185,2000.4708407707608,35955.858347038185,229615.41095190324,1.0,229615.41095190324,2000.4708407707608
50,0.45,0.091,35642.121293636024,1877.7243668466642,35642.121293636024,227069.87849923325,1.0,227069.87849923325,1877.7243668466642
53,0.45,0.09275,35301.19547116231,1751.4214058897924,35301.19547116231,224292.1000184945,1.0,224292.1000184945,1751.4214058897924
54,0.45,0.0945,34929.08751357359,1621.8139932131664,34929.08751357359,221248.58128026684,1.0,221248.58128026684,1621.8139932131664
55,0.45,0.09625,34521.47553307487,1489.422860835443,34521.47553307487,217903.23514533165,1.0,217903.23514533165,1489.422860835443
56,0.45,0.098,34073.80132152353,1355.0868199081588,34073.80132152353,214218.24091711067,1.0,214218.24091711067,1355.0868199081588
57,0.45,0.09975,33581.40427887513,1219.9905015061454,33581.40427887513,210155.27781642825,1.0,210155.27781642825,1219.9905015061454
58,0.45,0.1015,33039.692707919065,1085.6562204992174,33039.692707919065,205677.09634059435,1.0,205677.09634059435,1085.6562204992174
59,0.45,0.10325,32444.338843922334,953.8881274975768,32444.338843922334,200749.31107420704,1.0,200749.31107420704,953.8881274975768
60,0.45,0.10499999999999997,31791.473955961905,826.664217076367,31791.473955961905,195342.21239479183,1.0,195342.21239479183,826.664217076367
62,0.45,0.10674999999999997,31077.851868248843,705.9836147726668,31077.851868248843,189432.32751849227,1.0,189432.32751849227,705.9836147726668
61,0.45,0.1085,30300.946469394472,593.6898214273913,30300.946469394472,183003.44185004142,1.0,183003.44185004142,593.6898214273913
